,tokens
83,"['minister', 'finance', 'matia', 'kasaija', 'present', 'shs', 'bn', 'request', 'parliament', 'committee', 'national', 'economy', 'operationalise', 'eco', 'bus', 'project', 'kampala', 'central', 'district']"
84,"['open', 'day', 'ugandan', 'artist', 'donald', 'augustine', 'wasswa', 'aka', 'waswad', 'afriart', 'kampala', 'go', 'local', 'art', 'lore', 'one', 'work', 'display', 'title', 'controversially', 'screw', 'up']"
85,"['official', 'launch', 'tororo', 'girl', 'school', 'alumnus', 'association', 'hold', 'september', 'golf', 'course', 'hotel', 'kampala', 'first', 'deputy', 'prime', 'minister', 'minister', 'east', 'african', 'community', 'affair', 'woman', 'member', 'parliament', 'kamuli', 'district', 'kadaga', 'chief', 'guest']"
86,"['people', 'pay', 'wage', 'employment', 'increase', 'much', 'kampala', 'western', 'central', 'region', 'eastern', 'northern', 'region']"
87,"['whereas', 'kampala', 'arrest', 'meet', 'brother', 'make', 'call', 'ensure', 'justice', 'serve', 'good', 'thing', 'country', 'system', 'work', 'innocent', 'like', 'gain', 'freedom']"
88,"['annet', 'nabweteme', 'resident', 'kamombogga', 'kampala', 'think', 'kalembe', 'identify', 'woman', 'especially', 'single', 'mother', 'take', 'care', 'family', 'lockdown']"
89,"['however', 'address', 'journalist', 'uganda', 'medium', 'center', 'kampala', 'minister', 'lokeris', 'say', 'government', 'already', 'respond', 'request', 'give', 'assurance', 'work', 'stop']"
90,"['bashir', 'twesigye', 'executive', 'director', 'civic', 'response', 'environment', 'development', 'cre', 'kampala', 'base', 'civil', 'society', 'organisation', 'say', 'government', 'disaster', 'risk', 'response', 'remain', 'inadequate']"
91,"['average', 'person', 'kampala', 'spend', 'hour', 'one', 'half', 'hour', 'morning', 'another', 'two', 'hour', 'evening', 'traffic', 'jam', 'every', 'work', 'day']"
92,"['sort', 'select', 'one', 'two', 'kampala']"
93,"['anna', 'say', 'money', 'would', 'buy', 'land', 'kampala']"
94,"['mr', 'president', 'today', 'sanction', 'deployment', 'commando', 'kampala']"
95,"['study', 'finding', 'share', 'launch', 'tenth', 'edition', 'agricultural', 'financial', 'yearbook', 'hold', 'recently', 'imperial', 'royale', 'hotel', 'kampala']"
