,tokens
338,"['tell', 'never', 'see', 'rwanda', 'police', 'officer', 'beat', 'civilian', 'thereby', 'let', 'lose', 'dog', 'intellectual', 'emotional', 'war']"
339,"['eventually', 'ugandan', 'sgr', 'connect', 'rwanda', 'south', 'sudan']"
340,"['last', 'word', 'andrew', 'mwenda', 'last', 'month', 'rwanda', 'host', 'african', 'union', 'summit', 'continent', 'free', 'trade', 'area', 'cfta']"
341,"['burundi', 'rwanda', 'plan', 'complete', 'four', 'year', 'km', 'road', 'link', 'tanzania']"
342,"['government', 'uganda', 'consider', 'shooting', 'incident', 'grave', 'matter', 'although', 'late', 'victim', 'rwandan', 'constitute', 'pattern', 'reckless', 'high', 'hand', 'act', 'part', 'rwanda', 'security', 'personnel', 'simple', 'ordinary', 'people', 'live', 'along', 'common', 'border']"
343,"['president', 'rwanda', 'responsibility', 'punish', 'corruption', 'regardless', 'effect', 'party', 'electoral', 'fortune']"
344,"['sudden', 'halt', 'free', 'movement', 'good', 'people', 'violate', 'eac', 'common', 'market', 'protocol', 'free', 'movement', 'good', 'people', 'rwanda', 'firm', 'deny', 'close', 'border']"
345,"['country', 'make', 'baby', 'step', 'zone', 'include', 'rwanda', 'gabon', 'eswatini', 'lesotho', 'algeria']"
346,"['rwanda', 'register', 'new', 'case', 'new', 'data', 'come', 'tanzania', 'nearly', 'week']"
347,"['china', 'mozambique', 'vietnam', 'level', 'rwanda']"
348,"['rwanda', 'export', 'million', 'kilogram', 'coffee', 'worth', 'we', 'milion', 'previous', 'year']"
349,"['kenyatta', 'museveni', 'rwanda', 'paul', 'kagame', 'always', 'look', 'coalition', 'willing', 'tanzania', 'stay', 'club']"
350,"['central', 'bank', 'however', 'indicate', 'rwanda', 'impact', 'would', 'hurt', 'much', 'economy']"
351,"['sixth', 'year', 'row', 'rwanda', 'maintain', 'high', 'ranking', 'world', 'bank', 'index', 'rate', 'country', 'easily', 'business', 'set', 'protect', 'set']"
352,"['february', 'rwanda', 'rule', 'party', 'rwanda', 'patriotic', 'front', 'rpf', 'hold', 'meeting', 'attend', 'delegate']"
353,"['letter', 'well', 'public', 'function', 'officiate', 'people', 'say', 'give', 'unique', 'circumstance', 'rwanda', 'recent', 'pressure', 'government', 'toe', 'certain', 'line', 'worried', 'leave', 'many', 'thing', 'could', 'go', 'wrong', 'especially', 'leave', 'quickly', 'haphazardly']"
354,"['transfer', 'make', 'deputy', 'director', 'military', 'intelligence', 'finance', 'administration', 'deputising', 'gen', 'muntu', 'two', 'other', 'charge', 'counter', 'intelligence', 'paul', 'kagame', 'current', 'president', 'rwanda', 'deputy', 'technical', 'intelligence']"
355,['rwanda']
356,"['add', 'betray', 'apparent', 'appetite', 'state', 'state', 'violence', 'backdrop', 'resurgence', 'interstate', 'tension', 'recent', 'rwanda', 'drc', 'clash', 'raise', 'question', 'military', 'capability', 'continent']"
357,"['say', 'gerald', 'mukubu', 'head', 'rwanda', 'private', 'sector', 'federation', 'time']"
358,"['revise', 'green', 'growth', 'climate', 'resilience', 'strategy', 'aim', 'guide', 'national', 'policy', 'planning', 'integrate', 'way', 'mainstream', 'climate', 'change', 'sector', 'economy', 'position', 'rwanda', 'access', 'international', 'climate', 'funding', 'investment', 'say', 'rwanda', 'minister', 'environment', 'dr', 'jeanne', 'arc', 'mujawamariya', 'statement']"
359,"['time', 'demonstrate', 'confidence', 'improve', 'relation', 'rwanda', 'decide', 'take', 'bold', 'step', 'fly', 'kigali']"
360,"['country', 'like', 'rwanda']"
361,"['rwanda', 'open', 'methane', 'power', 'project', 'lake', 'kivu']"
362,"['argue', 'though', 'uncomfortable', 'fact', 'tutsi', 'elite', 'rwanda', 'mindful', 'minority', 'mistake', 'country', 'end', 'loss', 'power']"
363,"['see', 'happen', 'neighbouring', 'rwanda', 'government', 'wake', 'say', 'transfer', 'money', 'bank', 'mobile', 'wallet', 'free', 'way']"
364,"['congolese', 'adventure', 'lead', 'we', 'three', 'ugly', 'battle', 'time', 'erstwhile', 'ally', 'rwanda', 'kisangani']"
365,"['happen', 'south', 'sudan', 'rwanda', 'perhaps', 'somalia']"
366,"['south', 'africa', 'see', 'spectacular', 'drop', 'fertility', 'malawi', 'rwanda']"
367,"['south', 'sudan', 'stand', 'rwanda', 'burundi', 'loggerhead', 'recent', 'year', 'follow']"
368,"['rwanda', 'example', 'community', 'base', 'health', 'insurance', 'scheme', 'cover', 'population', 'country', 'people', 'work', 'informal', 'sector']"
369,"['last', 'year', 'rwanda', 'gdp', 'growth', 'rate', 'average', 'thus', 'make', 'th', 'fast', 'grow', 'economy', 'world']"
370,"['across', 'border', 'rwanda', 'president', 'paul', 'kagame', 'recently', 'dismiss', 'cabinet', 'ambassador', 'olivier', 'nduhungirehe', 'country', 'foreign', 'affair', 'minister', 'ugandan', 'observer', 'feel', 'undermine', 'relationship', 'two', 'country']"
371,"['kagame', 'lead', 'rwanda', 'patriotic', 'army', 'front', 'victory', 'rwanda', 'comrade', 'face', 'country', 'extremist', 'hutu', 'opportunistic', 'tutsi', 'elite', 'lead', 'masse', 'participate', 'wholesale', 'murder', 'nearly', 'one', 'million', 'tutsi', 'opposition', 'hutus']"
372,"['famous', 'robust', 'tourism', 'wildlife', 'approach', 'rwanda', 'african', 'country', 'extensive', 'gorilla', 'conservation', 'programme', 'international', 'gorilla', 'conservation', 'programme', 'make', 'unique', 'specie', 'centrepiece', 'tourism', 'offering', 'much', 'way', 'china', 'do', 'panda']"
373,"['dilemma', 'comment', 'rwanda', 'politic', 'face']"
374,"['one', 'easily', 'think', 'well', 'research', 'ignorant', 'reality', 'post', 'genocide', 'rwanda']"
375,"['indeed', 'congo', 'outsource', 'provision', 'order', 'east', 'rwanda']"
376,"['rwanda', 'reportedly', 'we', 'ethiopia', 'we']"
377,"['hope', 'finalist', 'get', 'expertise', 'work', 'stay', 'rwanda', 'musene', 'say']"
378,"['kigali', 'attitude', 'combine', 'something', 'akin', 'jihad', 'international', 'press', 'rwanda', 'bias', 'one', 'sided', 'vitriolic', 'make', 'kigali', 'case', 'less', 'convincing']"
379,"['kagame', 'help', 'put', 'place', 'public', 'private', 'institution', 'rwanda']"
380,"['basigo', 'enter', 'rwanda', 'market', 'partnership', 'rwandan', 'government', 'vivo', 'energy', 'bus', 'demonstrate', 'grow', 'regional', 'momentum']"
381,"['chase', 'owner', 'house', 'rwanda']"
382,"['know', 'ceo', 'someone', 'successful', 'call', 'white', 'house', 'say', 'know', 'little', 'country', 'call', 'rwanda', 'guy', 'name', 'paul', 'kagame', 'run', 'need', 'focus', 'guy', 'go', 'go', 'somewhere', 'pay', 'attention']"
383,"['past', 'rwanda', 'use', 'call', 'monthly', 'check', 'project']"
384,"['report', 'say', 'rwanda', 'express', 'discomfort', 'updf', 'deployment', 'dr', 'congo']"
385,"['parent', 'prefer', 'anonymity', 'say', 'son', 'travel', 'rwanda', 'study']"
386,"['however', 'numerous', 'rwandan', 'journalist', 'argue', 'medium', 'crisis', 'rwanda', 'extend', 'beyond', 'censorship', 'intimidation']"
387,"['rwanda', 'agency', 'provide', 'support', 'rwandair']"
388,"['international', 'visitor', 'tourism', 'trade', 'show', 'major', 'source', 'revenue', 'rwanda', 'kigali', 'particular', 'market', 'attractive', 'location', 'global', 'conference']"
389,"['refugee', 'originate', 'mainly', 'democratic', 'republic', 'congo', 'rwanda', 'south', 'sudan', 'somalia', 'burundi']"
390,"['rwanda', 'paul', 'kagame', 'year', 'mount', 'saddle']"
391,"['set', 'november', 'move', 'november', 'angola', 'foreign', 'affair', 'minister', 'say', 'commit', 'eventually', 'call', 'rwanda']"
392,"['seminar', 'bring', 'speaker', 'south', 'sudan', 'tanzania', 'ghana', 'rwanda', 'close', 'th', 'december']"
393,"['political', 'restriction', 'rwanda', 'may', 'seem', 'authoritarian', 'foreign', 'visitor', 'arm', 'abstract', 'notion', 'freedom', 'people', 'know', 'well', 'circumstance', 'see', 'accept', 'absolutely', 'necessary', 'stability', 'cohesion']"
394,"['project', 'drive', 'see', 'rwanda', 'economy', 'base', 'agriculture', 'livestock', 'yet', 'produce', 'go', 'waste', 'lack', 'processing', 'avenue']"
395,"['score', 'police', 'officer', 'occupy', 'top', 'job', 'custody', 'wide', 'range', 'military', 'intelligence', 'investigation', 'suspect', 'treason', 'multiple', 'murder', 'assassination', 'kidnap', 'force', 'repatriation', 'political', 'asylum', 'seeker', 'refugee', 'rwanda', 'south', 'sudan', 'proceed']"
396,"['initial', 'report', 'say', 'attacker', 'retreat', 'rwanda', 'level', 'sophisticated', 'equipment', 'go', 'beyond', 'rebel', 'outfit']"
397,"['last', 'year', 'rwanda', 'witness', 'increase', 'price', 'agro', 'product', 'due', 'drought', 'part', 'country']"
398,"['oil', 'survey', 'exercise', 'rwanda', 'discover', 'lake', 'kivu', 'basin', 'favorable', 'oil', 'gas', 'exploration']"
399,"['yet', 'learn', 'rwanda', 'register', 'permanently', 'available', 'anybody', 'reflection', 'one', 'time']"
400,"['therefore', 'without', 'oil', 'exporter', 'distort', 'sample', 'rwanda', 'th', 'fast', 'grow', 'economy', 'world', 'since', 'kagame', 'assume', 'office']"
401,"['last', 'year', 'rwanda', 'sixth', 'fast', 'grow', 'economy', 'continent']"
402,"['since', 'current', 'crisis', 'democratic', 'republic', 'congo', 'flare', 'international', 'medium', 'coverage', 'focus', 'rwanda', 'allege', 'support', 'one', 'rebel', 'group', 'fight', 'kinshasa']"
403,"['currently', 'uganda', 'investor', 'mining', 'sector', 'pay', 'shs', 'mining', 'lease', 'per', 'hectare', 'part', 'hectare', 'mineral', 'rent', 'annually', 'fee', 'retention', 'license', 'amount', 'shs', 'per', 'km', 'part', 'square', 'km', 'mineral', 'rent', 'annually', 'fee', 'exploration', 'license', 'shs', 'per', 'km', 'part', 'square', 'km', 'mineral', 'rent', 'annually']"
404,"['observe', 'go', 'strain', 'cause', 'service', 'debt', 'international', 'financier', 'ease', 'invest', 'uganda']"
405,"['instance', 'uganda', 'export', 'united', 'arab', 'emirate', 'grow', 'million', 'us', 'dollar', 'shs', 'trillion', 'since', 'diplomatic', 'relation', 'establish', 'billion', 'shs', 'trillion']"
406,"['ambassador', 'ayebare', 'express', 'optimism', 'committee', 'execute', 'mandate', 'uganda', 'mid', 'term', 'report', 'expect', 'publish', 'document', 'security', 'council', 'th', 'december']"
407,"['common', 'type', 'tick', 'uganda', 'ixodidae', 'hard', 'bodied', 'tick', 'argasidae', 'soft', 'bodied', 'tick']"
408,"['statement', 'release', 'wednesday', 'uganda', 'ministry', 'foreign', 'affair', 'say', 'interaction', 'engagement', 'minister', 'kutesa', 'cefc', 'representative', 'patrick', 'ho', 'fulfillment', 'official', 'function', 'president', 'un', 'general', 'assembly', 'pga']"
409,"['loss', 'public', 'property', 'never', 'serious', 'offense', 'uganda', 'know']"
410,"['mp', 'uganda', 'take', 'shs', 'salary', 'allowance', 'every', 'month', 'kenyan', 'counterpart', 'take', 'shs', 'million']"
411,"['kariuki', 'present', 'medium', 'uganda', 'economic', 'update', 'th', 'edition', 'report', 'accord', 'world', 'bank', 'uganda', 'economy', 'grow', 'slowly', 'population', 'grow', 'fast', 'leave', 'country', 'unable', 'attain', 'middle', 'income', 'status']"
412,"['fine', 'cotton', 'world', 'produce', 'uganda', 'shall', 'support', 'mechanism', 'uganda', 'produce', 'process', 'market', 'cotton', 'globally', 'say']"
413,"['present', 'good', 'opportunity', 'uganda', 'share', 'current', 'development', 'oil', 'gas', 'sector', 'together', 'energy', 'mineral', 'sector', 'include', 'available', 'investment', 'opportunity', 'minister', 'nankabirwa', 'say']"
414,"['museveni', 'determination', 'secure', 'uganda', 'oil', 'however', 'lead', 'shroud', 'sector', 'secrecy']"
415,"['interesting', 'heart', 'political', 'vision', 'uganda', 'succeed', 'without', 'development', 'regional', 'environment']"
416,"['uk', 'host', 'summit', 'area', 'year', 'delighted', 'uganda', 'closely', 'engage']"
417,"['tullow', 'uganda', 'appeal', 'decision', 'tribunal', 'commercial', 'court', 'result', 'court', 'settlement', 'contest']"
418,"['logistic', 'industry', 'especially', 'uganda', 'freight', 'forwarder', 'association', 'uffa', 'passionate', 'turn', 'uganda', 'main', 'logistic', 'hub', 'region']"
419,"['however', 'use', 'country', 'like', 'algeria', 'israel', 'pakistan', 'charge', 'windfall', 'tax', 'oil', 'price', 'reach', 'we', 'we', 'csbag', 'think', 'us', 'minimum', 'threshold', 'uganda', 'high']"
420,"['sector', 'employ', 'per', 'cent', 'uganda', 'total', 'labour', 'force', 'vast', 'majority', 'population', 'directly', 'indirectly', 'depend']"
421,"['unlike', 'uganda', 'transaction', 'hard', 'cash', 'somalia', 'easy', 'pay', 'anything', 'use', 'mobile', 'money', 'like', 'service']"
422,"['consequently', 'direct', 'monetary', 'gain', 'authorship', 'partly', 'poor', 'reading', 'culture', 'uganda', 'therefore', 'limited', 'size', 'book', 'market']"
423,"['interview', 'excerpt', 'question', 'range', 'recent', 'loan', 'uganda', 'growth', 'accountability']"
424,"['example', 'conservationist', 'work', 'government', 'uganda', 'sign', 'much', 'seek', 'biodiversity', 'conservation', 'commitment']"
425,"['population', 'uganda', 'million']"
426,"['president', 'museveni', 'remain', 'committed', 'set', 'see', 'uganda', 'oil', 'exploration', 'project', 'development', 'plan', 'conclude', 'stipulate', 'include', 'advance', 'mega', 'oil', 'pipeline', 'project', 'across', 'lake', 'albert']"
427,"['history', 'show', 'two', 'politician', 'obote', 'museveni', 'successfully', 'launch', 'eventually', 'successful', 'bid', 'rule', 'uganda', 'tanzania', 'destroy', 'landmark']"
428,"['report', 'fian', 'food', 'first', 'information', 'action', 'network', 'international', 'organization', 'find', 'government', 'reportedly', 'lease', 'feddan', 'land', 'ha', 'staggering', 'uganda', 'total', 'area', 'various', 'part', 'country', 'egypt', 'egypt', 'private', 'sector', 'may', 'come', 'produce', 'wheat', 'maize', 'export', 'cairo']"
429,"['uganda', 'receive', 'million', 'visitor', 'annually', 'include', 'national', 'resident', 'return']"
430,"['accord', 'bou', 'close', 'uganda', 'inflation', 'touch', 'current', 'level', 'august']"
431,"['rudi', 'veestraeten', 'say', 'uganda', 'truck', 'approach', 'empower', 'youth', 'become', 'self', 'reliant']"
432,"['analysis', 'do', 'three', 'emerge', 'particularly', 'influential', 'among', 'janet', 'museveni', 'wife', 'uganda', 'yoweri', 'museveni']"
433,"['gold', 'export', 'figure', 'directly', 'affect', 'gdp', 'value', 'uganda', 'inflate', 'thereby', 'paint', 'bogus', 'image', 'actual', 'state', 'economy']"
434,"['museveni', 'always', 'say', 'uganda', 'collect', 'shs', 'billion', 'revenue']"
435,"['uganda', 'tanzania', 'say', 'stifle', 'production', 'trade', 'locally', 'grow', 'rice', 'rice', 'import', 'region', 'illegally', 'export']"
436,"['relate', 'development', 'thursday', 'eminence', 'sheikh', 'shaban', 'ramadan', 'mubaje', 'mufti', 'uganda', 'along', 'delegation', 'interreligious', 'council', 'uganda', 'conduct', 'tour', 'various', 'oil', 'project']"
437,"['laura', 'say', 'ijm', 'could', 'move', 'northern', 'uganda', 'fund', 'become', 'available']"
438,"['early', 'year', 'june', 'privileged', 'get', 'audience', 'h', 'president', 'uganda']"
439,"['break', 'uganda', 'last', 'year', 'country', 'like', 'china', 'battle', 'tough', 'strain', 'hn']"
440,"['election', 'uganda', 'become', 'procedural', 'ritual', 'opportunity', 'establish', 'government', 'consent', 'thank', 'obscenely', 'high', 'financialisation', 'election', 'write']"
441,"['uganda', 'take', 'cue', 'country']"
442,"['regionally', 'uganda', 'import', 'african', 'continent', 'base', 'datum', 'billion', 'represent', 'total', 'import']"
443,"['need', 'process', 'able', 'talk', 'happen', 'process', 'reconciliation', 'process', 'justice', 'able', 'ensure', 'northern', 'uganda', 'country', 'general', 'able', 'move']"
444,"['still', 'believe', 'uganda', 'central', 'geographically', 'term', 'conflict', 'resolution', 'build', 'east', 'african', 'community']"
445,"['many', 'people', 'concern', 'fail', 'impact', 'uganda', 'oil', 'price', 'explanation', 'simple']"
446,"['highly', 'place', 'source', 'uganda', 'government', 'speak', 'condition', 'anonymity', 'tell', 'theindependent', 'discussion', 'ugandan', 'government', 'diplomatic', 'community', 'issue', 'bashir', 'presence', 'would', 'handle']"
447,"['nrm', 'take', 'power', 'armed', 'conflict', 'year', 'economy', 'uganda', 'collapse', 'totally', 'informalize']"
448,"['lot', 'attention', 'put', 'get', 'discovery', 'process', 'motion', 'substitute', 'significant', 'public', 'investment', 'geological', 'information', 'tullow', 'sink', 'well', 'uganda', 'strike', 'oil']"
449,"['press', 'report', 'note', 'concern', 'ministry', 'foreign', 'affair', 'statement', 'could', 'misconstrue', 'official', 'position', 'state', 'uganda']"
450,"['pius', 'wakabi', 'kasajja', 'permanent', 'secretary', 'ministry', 'agriculture', 'animal', 'industry', 'fishery', 'maaif', 'say', 'although', 'people', 'underestimate', 'locust', 'invisible', 'damage', 'uganda', 'many', 'farmer', 'would', 'lose', 'migratory', 'hopper', 'manage']"
451,"['united', 'states', 'value', 'relationship', 'uganda', 'wharton', 'state', 'interpretation', 'looking', 'walk', 'indication', 'sharp', 'exchange', 'ahead', 'quickly', 'subside']"
452,"['cover', 'story', 'ian', 'katusiime', 'first', 'place', 'joint', 'force', 'uganda', 'army', 'force', 'dr', 'congo', 'government', 'rebel', 'infest', 'mineral', 'rich', 'north', 'kivu', 'region', 'vast', 'country']"
453,"['uganda', 'need', 'billion', 'dollar', 'finance', 'climate', 'mitigation', 'measure', 'accord', 'nationally', 'determine', 'contribution', 'commitment', 'make', 'line', 'paris', 'agreement', 'period']"
454,"['meanwhile', 'international', 'finance', 'corporation', 'ifc', 'world', 'bank', 'group', 'private', 'sector', 'lending', 'arm', 'plan', 'increase', 'spending', 'sub', 'saharan', 'africa', 'oil', 'gas', 'industry', 'see', 'significant', 'opportunity', 'ghana', 'uganda', 'tanzania']"
455,"['immediately', 'follow', 'energy', 'minister', 'announcement', 'heavey', 'fly', 'uganda', 'meet', 'president', 'museveni', 'presumably', 'try', 'avert', 'decision', 'favour', 'heritage', 'eni']"
456,"['want', 'reiterate', 'respect', 'somalia', 'uganda', 'champion', 'peace', 'somalia', 'bilateral', 'cooperation', 'somali', 'leader', 'say']"
457,"['uganda', 'rich', 'rich', 'cultural']"
458,"['uganda', 'visual', 'evidence', 'interview', 'show', 'standard', 'safety', 'box', 'use', 'sharp', 'container', 'pqs', 'approve', 'comply', 'national', 'policy']"
459,"['different', 'government', 'uganda', 'official', 'president', 'low', 'rank', 'staff', 'within', 'ministry', 'energy', 'mineral', 'development', 'push', 'back', 'claim', 'european', 'parliament', 'resolution', 'lace', 'colonialist', 'undertone', 'bring', 'back', 'memory', 'historical', 'injustice', 'mete', 'european', 'african']"
460,"['lr', 'deluxe', 'land', 'rig', 'customize', 'kingfisher', 'project', 'uganda']"
461,"['trader', 'say', 'later', 'tell', 'uganda', 'open', 'market', 'everyone', 'allow', 'trade']"
462,"['totalenergie', 'captain', 'uganda', 'oil', 'industry', 'favour', 'european', 'company']"
463,"['president', 'yoweri', 'museveni', 'finally', 'suck', 'firefighting', 'underway', 'save', 'uganda', 'big', 'electricity', 'project', 'shoddy', 'construction', 'incompetent', 'contractor', 'supervisor', 'jostle', 'control', 'billion', 'budget']"
464,"['fanaka', 'report', 'note', 'uganda', 'long', 'history', 'political', 'upheaval', 'begin', 'time', 'colonisation', 'often', 'revolve', 'around', 'ethnicity']"
465,"['cost', 'come', 'instance', 'uganda', 'landlocke', 'oil', 'say', 'waxy', 'need', 'pipeline', 'heat', 'transport', 'refining', 'facility', 'export']"
466,"['gideon', 'badagawa', 'executive', 'director', 'private', 'sector', 'foundation', 'uganda', 'tell', 'independent', 'interview', 'pleased', 'pass', 'local', 'content', 'bill', 'parliament']"
467,"['field', 'research', 'uganda', 'consist', 'interview', 'range', 'actor', 'work', 'batwa', 'issue', 'national', 'district', 'community', 'level']"
468,"['irene', 'muloni', 'minister', 'energy', 'say', 'summit', 'would', 'allow', 'uganda', 'highlight', 'opportunity', 'around', 'nd', 'round', 'license', 'country', 'announce', 'may']"
469,"['travel', 'uganda', 'religious', 'fellowship', 'together', 'daughter']"
470,"['reporter', 'without', 'border', 'rwb', 'publisher', 'survey', 'say', 'statement', 'uganda', 'act', 'intimidation', 'violence', 'journalist', 'almost', 'daily', 'occurrence', 'uganda']"
471,"['government', 'uganda', 'helpful', 'people', 'disability', 'several', 'plan', 'rule', 'put', 'place', 'cater', 'people', 'society', 'especially', 'public', 'place', 'office', 'facility']"
472,"['grow', 'farm', 'western', 'eastern', 'uganda']"
473,"['whole', 'range', 'sound', 'legal', 'constitutional', 'reason', 'uganda', 'adopt', 'fault', 'divorce', 'regime', 'many', 'cover', 'bit', 'extensively', 'journal', 'article', 'reference']"
474,"['president', 'put', 'campaign', 'trail', 'hold', 'welcome', 'pope', 'say', 'great', 'blessing', 'uganda']"
475,"['fact', 'violation', 'arise', 'people', 'abide', 'responsibility', 'duty', 'citizen', 'uganda', 'wangadya', 'say']"
476,"['uganda', 'farmer', 'need', 'movement', 'towards', 'agro', 'ecological', 'farming', 'system']"
477,"['outline', 'story', 'kalinaki', 'tell', 'we', 'largely', 'rely', 'besigye', 'wife', 'winnie', 'byanyima', 'lense', 'politic', 'uganda', 'president', 'yoweri', 'museveni', 'central', 'antagonist']"
478,"['guide', 'principle', 'uganda', 'import', 'substitution', 'export', 'promotion', 'strategy', 'create', 'production', 'efficiency', 'use', 'locally', 'available', 'resource', 'include', 'human', 'resource', 'minimize', 'cost', 'maximize', 'profitability', 'increase', 'production', 'productivity', 'enterprise']"
479,"['realistic', 'standpoint', 'state', 'uganda', 'physical', 'planning', 'impractical', 'would', 'mean', 'close', 'least', 'per', 'cent', 'exist', 'bar', 'uganda']"
480,"['bwanika', 'promise', 'well', 'pay', 'teacher', 'bidandi', 'launch', 'manifesto', 'last', 'say', 'ugandans', 'vote', 'rule', 'uganda', 'five', 'year', 'leave']"
481,"['government', 'already', 'take', 'strategic', 'decision', 'want', 'focus', 'decision', 'take', 'mofpe', 'mean', 'trader', 'along', 'value', 'chain', 'production', 'uganda', 'agriculture', 'industry', 'service', 'sector']"
482,"['uganda', 'population', 'elephant', 'dwindle']"
483,"['part', 'african', 'union', 'allocation', 'uganda', 'get', 'million', 'dose', 'johnson', 'johnson', 'vaccine', 'million', 'dose', 'astrazeneca', 'vaccine', 'dose', 'pfizer', 'vaccine']"
484,"['agriculture', 'employ', 'uganda', 'population', 'contribute', 'gdp']"
485,"['accord', 'sharon', 'muhwezi', 'oaf', 'head', 'government', 'relation', 'policy', 'analyst', 'uganda', 'oaf', 'link', 'farmer', 'market', 'prepare', 'store', 'produce', 'avoid', 'sell', 'dump', 'piece']"
486,"['absurd', 'law', 'uganda', 'intend', 'take', 'away', 'right', 'farmer', 'future']"
487,"['team', 'therefore', 'mainly', 'rely', 'elaborately', 'write', 'british', 'order', 'council', 'establish', 'current', 'uganda', 'kenya', 'boundary', 'complete', 'coordinate', 'pillar', 'natural', 'feature']"
488,"['directive', 'affect', 'tourism', 'industry', 'contribute', 'uganda', 'gross', 'domestic', 'product', 'gdp']"
489,"['touch', 'beijing', 'capital', 'airport', 'cabin', 'crew', 'announce', 'passenger', 'uganda', 'would', 'first', 'disembark']"
490,"['say', 'biodiversity', 'around', 'total', 'uganda', 'project', 'unique']"
491,"['struggle', 'sacrifice', 'freedom', 'democracy', 'uganda', 'undoubtedly', 'one', 'inspiring', 'act', 'leadership']"
492,"['believe', 'nrm', 'government', 'actually', 'bury', 'opportunity', 'save', 'uganda', 'future', 'chaos', 'use', 'long', 'range', 'politic']"
493,"['therefore', 'magic', 'wand', 'would', 'address', 'uganda', 'healthcare', 'system', 'issue', 'would', 'sufficient', 'sustainable', 'funding']"
494,"['rank', 'uganda', 'position', 'competiveness', 'country', 'survey']"
495,"['insist', 'contrary', 'crsa', 'six', 'director', 'indirectly', 'facilitate', 'establishment', 'bugiri', 'sugar', 'work', 'limit', 'invest', 'large', 'sum', 'money', 'acquire', 'interest', 'therein', 'purpose', 'deal', 'business', 'manufacturing', 'sell', 'sugar', 'product', 'uganda']"
496,"['assure', 'president', 'full', 'support', 'muslim', 'fraternity', 'religious', 'denomination', 'interreligious', 'council', 'uganda', 'conserve', 'value', 'uganda', 'africa', 'condemn', 'homosexuality']"
497,"['natuhwera', 'say', 'pende', 'criminal', 'trial', 'therefore', 'justice', 'must', 'serve', 'government', 'uganda', 'people', 'uganda', 'want', 'trial', 'go']"
498,"['theft', 'increase', 'cattle', 'herder', 'teso', 'sub', 'region', 'north', 'east', 'uganda', 'since', 'january', 'bring', 'stout', 'short', 'horned', 'cattle', 'community', 'kraal', 'every', 'evening', 'instead', 'keep', 'home']"
499,"['deal', 'chinese', 'government', 'would', 'extend', 'loan', 'government', 'uganda', 'cover', 'cost', 'project']"
500,"['uganda', 'struggle', 'implement', 'disability', 'tailor', 'assessment', 'unique', 'educator', 'inclusive', 'advocate', 'across', 'globe', 'point', 'press', 'issue']"
501,"['agriculture', 'sector', 'remain', 'basis', 'uganda', 'economy', 'account', 'one', 'quarter', 'country', 'gdp', 'half', 'uganda', 'export', 'employ', 'close', 'country', 'labour', 'force']"
502,"['say', 'uganda', 'economy', 'far', 'recovery', 'add', 'commodity', 'price', 'still', 'high', 'unemployment', 'rate', 'still', 'worry']"
